polarity,subjectivity,text,category
-0.2,0.2,"RT If you can’t afford your insulin, have trouble paying for your kids school supplies, or just had food stamps cut so now…",neutral
0.0,0.0,I smell cap in juice wrld’s death..,unhealthy
0.0,0.0,RT RIP JUICE,neutral
-0.10714285714285716,0.7678571428571428,RT so sad today... this isn’t right rip juice wrld 💔,unhealthy
0.09444444444444444,0.37222222222222223,"RT If Republicans were willing to scrutinize billionaires *half* as much as they scrutinize people on food stamps, this country would…",neutral
0.0,0.125,Rip JUICE WRLD I feel the same bro,neutral
0.0,0.0,Going to Disney with my bestie 😍💕 hehe can’t wait to see all the lights and try tasty food,neutral
0.0,0.0,rip juice wrld😔,unhealthy
-0.08333333333333333,0.6296296296296297,RT Me: Do you like food Uber driver: Sure Me: [pulling all of the spaghetti out of my pockets that I was saving for later but I…,neutral
0.0,0.0,RT Nigga was dancing like mom made pizza rolls,unhealthy
-0.5,1.0,Sad day juice wrld and saints loss..,unhealthy
0.0,0.0,RT rip juice you were like a brother to me,unhealthy
0.0,0.0,RT rip JUICE WRLD 💔,neutral
0.0,0.0,RT lizzo - juice (2019),unhealthy
0.2857142857142857,0.5357142857142857,RT reading juice wrld died right after waking up,unhealthy
0.7,0.95,A chopped beef filled baked potato from Pappas sounds perfect rn,healthy
0.0,0.0,"RT Day 9738272 without yoongi: my hair fell out, my fish ran away, and all my spoons were stolen so now I have to eat my ce…",unhealthy
0.0,0.0,RT how tf am i supposed to give jun his animal waffle maker now 🚶🏻‍♂️,unhealthy
0.0,0.0,RT juice wrld just had a seizure because of his addiction to percs/lean which is literally heroin. yet you nigga will still g…,unhealthy
0.0,0.0,RT rip JUICE WRLD 💔,neutral
0.2857142857142857,0.5357142857142857,"We eat banana bread by the loaf, right?",healthy
0.85,1.0,RT j.i.d paying tribute to juice wrld tonight was beautiful #RIPJUICEWRLD,unhealthy
0.35,0.55,RT This generation is full of fish that want to be applauded for swimming 🥴,unhealthy
0.0,0.0,"rip juice world. idk how an amusement park can die or why it would be juice themed, but rip anyways 🙏",unhealthy
0.0,0.0,RT I want boiling crab 😞,healthy
0.0,0.0,come get yall juice,unhealthy
0.0,0.0,"RT I know there’s a video out of me getting jumped, everyone in the pizza shop literally just watched, with their phones ou…",unhealthy
0.25,0.3333333333333333,first and foremost: the girl i (kinda) like asked for my number so we could meet and sit together at lunch BUT my delusional ass thinks we might have a chance,neutral
0.0,0.0,"RT Frankly, when I look at this impeachment, I see a banana taped to a wall. As others coo over the power and evidence in…",healthy
0.5166666666666666,0.5,RT Ooooo sour cream and onion dip is sooo good. I always loved artichoke too!! Uhh should of went with chip…,healthy
0.2333333333333333,0.20000000000000004,"""A good place to start may be to engage with the American Dental Association on a local or national level. There might be opportunities to educate ADA members at association meetings and seminars about the role IHs can play in helping protect workers in the dental industry.""",neutral
0.35,0.55,RT This generation is full of fish that want to be applauded for swimming 🥴,unhealthy
0.0,0.0,"RT Lil breakfast today, I’m STARVING",neutral
-0.2,0.8,my eggs be on some hoe shit,healthy
0.0,0.18888888888888888,"RT taman tasik titiwangsa is open back to public this sunday 15th dec 😱😱😱 siap ada swimming pool, fancy jogging trails cant w…",unhealthy
0.0,0.0,oh tea 😏,unhealthy
0.390625,0.8500000000000001,RT Can’t wait to drink hot chocolate and wear this pullover!! 🎄:,unhealthy
0.4,0.325,RT You chose Epic Sax Guy as the best meme of 2010! (Ignore the blue in the pie chart someone just bot voted for Ok Boomer over…,unhealthy
-0.6,0.95,RT Someone needs to take Mayuri from Steins;Gate to Popeyes and get her that chicken sandwich.,healthy
-0.05,0.3,"RT PM post to Anwar NEXT Dec - Dr.M ada 12 bln lagi, macam2 boleh jadi i still dont believe it, NOT 4a Sec i know my boss…",unhealthy
0.3125,0.2,I’ll try but already drank two cups of coffee 😪😪 but thank you so much!!,unhealthy
0.0,0.0,RT just squeeeeeeeeeeeeezing in 2-3 hours of uninterrupted staring at my phone before bed. might even google a recipe I h…,neutral
-0.30000000000000004,0.7,RT Cats always be doing this fuck shit lmfaooo like why must your touch my food 😭😂😂,neutral
0.0,0.0,RT LOOK AT THIS CAT MAKING A COOKIE IM SCREAMING SO CUTEE,neutral
-0.6,0.95,I gotcha chicken sandwich 😭,healthy
-0.28214285714285714,0.5821428571428571,RT taekook watching together their chicken noodle soup dance cover with not a single space in between them. …,healthy
-0.1,0.05,you're the one with red sprinkles every few days a month too hehe xxx,unhealthy
-0.4333333333333333,0.6833333333333332,RT if u see me comparing hand sizes over dinner with someone ugly mind your business. its getting cold outside,neutral
0.0,0.0,RT Picturer: Stefan inside your fallopian tubes trying to save your eggs,healthy
-0.4,0.6,I ACCIDENTALLY TEXTED LIZ DUCK INSTEAD OF FUCK,neutral
0.2833333333333333,0.575,"Fine, I'll quit this pineapple on pizza addiction and eat a normal pizza.",healthy
0.0625,0.5,i have major tea i can not wait until my gf wakes up omfg,unhealthy
0.0,0.0,RT #ad Give your oven a break this holiday with a dessert that doesn’t require heat! --&gt; 🍒Creamy No-Bake Vanilla Cherry Chee…,neutral
0.6,0.9,I’m honestly about to release a memoir of all the garbage things that my garbage ex did to me the world deserves this TEA,neutral
-0.18333333333333332,0.8666666666666667,Hate their coffee so it is easy for me to stay away,unhealthy
-0.30000000000000004,0.7,RT Cats always be doing this fuck shit lmfaooo like why must your touch my food 😭😂😂,neutral
0.4,0.65,Cooked myself real food for once. Feels nice,neutral
-0.55,0.725,RT hoseok was shy and embarrased but taehyung still called out jimin to do the CHICKEN NOODLE SOUP CHALLENGE 😭 …,neutral
-0.30000000000000004,0.7,RT Cats always be doing this fuck shit lmfaooo like why must your touch my food 😭😂😂,neutral
0.0,0.0,Meanwhile I reading this and eating popcorn 🍿,healthy
0.2369791666666667,0.2833333333333333,"DO TELL TRUDEAU, why less and less food grown in Canada when we did more and more ??? Bid now ! Help create jobs FOR Canadians !",neutral
0.225,0.875,"The holy trinity of comfort food; pot roast, roasted garlic/ranch/Parmesan mashed potatoes and gravy. It gets just cold enough here that this is perfect eaten in front of a propane heater on our patio :-) @ Smith…",healthy
0.09475308641975308,0.4774691358024692,"Most definitely. Do your own due diligence with everything. If you really start to go down the rabbit hole of black history. You’ll see all that they’ve never told us. You’ll start to ask why, what’s the purpose? As you said especially all the parts that’s American history.",healthy
0.0,1.0,Especially that Christmas song. You should send this in the beef jerkey segment,healthy
0.25,0.8500000000000001,RT Look I need hot chocolate anyway I can even if it's with hot water,unhealthy
0.2090909090909091,0.5636363636363637,"real tea we just need a new and better video sharing website, that’s it tbh we only stick around bc of nostalgia #youtubeisoverparty",unhealthy
0.0,0.0,RT Two mice having a fight at the London subway (Photo: Sam Rowley),neutral
0.08522727272727272,0.4772727272727273,RT Thank you UK for making our show such a HIT!!! I’m coming over for tea in the new year!,unhealthy
0.55,0.75,RT I love that kind of friendship yang both of you tak selalu contact but kalau ada problem or need some to talk you have eac…,unhealthy
0.0,0.0,Finna make some shrimp then to bed I go.,healthy
0.2,0.2,Damn juice really gone,unhealthy
0.0,0.0,Jermaine is the brother than left a corner of orange juice in the fridge.,healthy
0.0,0.6,RT There are two different ways to make pizza,unhealthy
0.6125,1.0,RT Having your own bread as a woman is so important!!,unhealthy
0.6125,1.0,RT Having your own bread as a woman is so important!!,unhealthy
0.0,0.0,RT The holidays are a time of giving! Who would you share some lunch with at Myron Mixon's? Tag them below! Then bring th…,neutral
0.0,0.0,"I was just going to say, I had those orange tracks all around the basement",healthy
0.21103896103896105,0.5178571428571428,Hello?? You do live in this country right? We're working two and three jobs just to keep the lights on and food on the table as they continue to raise prices lower wages and increase healthcare costs. When? When would you like us to take to the streets? After our babies die?,neutral
0.3333333333333333,0.3666666666666667,RT Too many Brits love the feel of a Tory jackboot on the back of their neck and think that the horror of food banks and zero…,neutral
0.0,0.6,RT There are two different ways to make pizza,unhealthy
0.0,0.0,RT About 70% of the world’s spices come from India.,healthy
0.0,0.0,RT Two mice having a fight at the London subway (Photo: Sam Rowley),neutral
-0.6,0.95,A boomer asked me today what I’ve done to get so skinny and I said “I eat vegan during the week” and she was like idk what that is and I said I don’t eat cheese or meat and she was like OH MY not even chicken??,unhealthy
-0.8,0.9,"RT kentang instead of sardines, i hate karipap sardines",healthy
0.0,0.0,RT i just want to wake up without an alarm and no responsibilities for the day and have this for breakfast …,neutral
0.5,0.4,Rendon got paid good for him that’s a fun lineup between otahni trout and him.,healthy
0.0,0.0,"RT harry and james singing watermelon sugar together, THE FLAVOR",healthy
0.175,0.925,Wow. E;O insurance must be selling like hot cakes today.,healthy
0.0,0.0,About time the Angels get trout some help,healthy
0.0,0.0,RT Can somebody bring me food 🥴,neutral
0.8,0.75,Can’t wait to make my basil pesto pasta tonight it’s gonna be great,unhealthy
